full_name,neo,pha,H,diameter,rot_per,e,a,q,i,ad,moid,moid_jup,producer,data_arc,first_obs,last_obs
"       (2010 TT20)",N,N,18.446,,,.09654487534419928,2.605900683753585,2.354314327081231,.3355388577209983,2.857487040425938,1.35232,2.57867,"Otto Matic",11,2010-10-01,2010-10-12
"       (2010 TH22)",N,N,19.2,,,.1765061883145089,2.32186776923808,1.912043739519555,1.161000511568534,2.731691798956606,.924445,2.5929,"Otto Matic",2575,2010-10-01,2017-10-19
"       (2010 TP25)",N,N,17.0,,,.2218071444345859,2.841341783795428,2.211111876369091,14.8450534547299,3.471571691221765,1.2164,2.02185,"Otto Matic",4608,2005-08-30,2018-04-12
"       (2010 TV43)",N,N,17.4,,,.09671647448942462,2.725434109625117,2.461839731088951,5.520480259742564,2.989028488161282,1.48293,2.24104,"Otto Matic",6580,2001-10-20,2019-10-26
"       (2010 TR46)",N,,17.7,,,0.2456086,2.3270710,1.7555223,21.34695,2.8986197,,,Williams,,2003-??-??,2014-11-23
"       (2010 TQ76)",N,N,17.4,,,.1604925547619826,2.441223189604558,2.049425043160727,6.528015211537982,2.83302133604839,1.04126,2.54727,"Otto Matic",1566,2010-10-08,2015-01-21
"       (2010 TC91)",N,N,18.3,,,.09986514746928725,2.361236574304661,2.125431335601851,5.91819709940739,2.59704181300747,1.11759,2.5554,"Otto Matic",3048,2009-04-18,2017-08-22
"       (2010 TB160)",N,,17.2,,,0.0538888,2.7853874,2.6352862,4.69292,2.9354886,,,Veres,,2001-??-??,2019-09-07
"       (2010 TX164)",N,,16.7,,,0.1203278,3.1761747,2.7939926,8.05091,3.5583568,,,Williams,,2005-??-??,2017-12-24
"       (2010 TZ198)",N,N,18.0,,,.05196682180760907,2.227803238160811,2.112031384260894,6.474466184379177,2.343575092060728,1.13016,2.77136,"Otto Matic",2659,2010-10-13,2018-01-23
"       (2010 TJ206)",N,N,16.7,,,.03932244672369493,3.127190622612341,3.004221835959829,9.252442817685566,3.250159409264854,2.02657,1.87574,"Otto Matic",2704,2010-10-12,2018-03-08
"       (2010 UG4)",N,N,17.5,1.718,,.303127733966022,3.081128082377379,2.14715270870725,10.60089506128202,4.015103456047509,1.15015,1.46878,"Otto Matic",2347,2010-08-01,2017-01-03
"       (2010 UN26)",N,N,16.1,,,.1333303311695422,2.876306807000735,2.492807867878119,12.64129614879073,3.259805746123352,1.5194,2.11194,"Otto Matic",6406,2000-10-01,2018-04-16
"       (2010 UO77)",N,,18.0,,,0.2146459,2.2188601,1.7425909,6.64550,2.6951293,,,Veres,,2003-??-??,2019-06-02
"       (2010 UD79)",N,N,17.8,,,.2498403169938555,2.738121883057194,2.054028643826372,7.255871557047164,3.422215122288015,1.07749,1.96393,"Otto Matic",3338,2010-10-30,2019-12-20
"       (2010 UC85)",N,N,17.8,,,.2245368247224967,2.759831028442112,2.140147332545098,7.2441841779382,3.379514724339127,1.13659,1.98891,"Otto Matic",3817,2009-05-16,2019-10-28
"       (2010 UD89)",N,N,19.0,,,.1441726744561979,2.328886371470885,1.993124594791337,2.991095231585485,2.664648148150432,1.00061,2.72736,"Otto Matic",5059,2003-11-19,2017-09-25
"       (2010 UJ91)",N,N,18.0,,,.1903929008283681,2.221002669951476,1.798139528871864,6.48496423654523,2.643865811031088,.791532,2.73422,"Otto Matic",6285,2002-03-12,2019-05-27
"       (2010 VE)",Y,N,19.7,,,.4400641127319853,1.490142209141628,.8343841000312369,8.943080426934666,2.145900318252019,.128453,3.07439,"Otto Matic",2274,2010-11-01,2017-01-22
"       (2010 VW16)",N,N,18.18,,,.0844845747784206,2.763876351773034,2.530371433453357,4.056731588771362,2.997381270092711,1.54344,2.30619,"Otto Matic",17,2010-10-17,2010-11-03
"       (2010 VR53)",N,N,18.7,,,.1997610434615952,2.451791169287493,1.962018806960699,1.881925594985354,2.941563531614288,.956638,2.49484,"Otto Matic",4489,2002-08-29,2014-12-13
"       (2010 VE72)",N,N,19.4,,,.08608520528962736,1.760755850544974,1.609180821685898,18.64435787616567,1.91233087940405,.598604,3.07581,"Otto Matic",1303,2010-11-02,2014-05-28
"       (2010 VF115)",N,N,16.5,,,.1690805960642818,3.125062685879847,2.596675224213037,11.48425996686508,3.653450147546657,1.63281,1.49559,"Otto Matic",4567,2005-11-30,2018-06-02
"       (2010 VT119)",N,N,17.1,,,.07747577052384759,2.97265672329879,2.742347853158321,25.35308293991912,3.20296559343926,1.79292,2.22445,"Otto Matic",3682,2005-12-05,2016-01-04
"       (2010 VM122)",N,N,17.6,,,.2031450985310936,2.626461274228833,2.092908539887515,11.17743997029567,3.160014008570152,1.10902,2.26981,"Otto Matic",6,2010-11-06,2010-11-12
"       (2010 VA125)",N,N,17.4,,,.1121229133820499,2.987811460514163,2.652809334925037,10.80397539084805,3.322813586103288,1.65882,2.11338,"Otto Matic",1861,2010-10-29,2015-12-03
"       (2010 VU136)",N,N,18.0,,,.2238163395334456,2.183304779860172,1.694645495945993,6.144368799241915,2.671964063774351,.679457,2.59585,"Otto Matic",1545,2010-10-30,2015-01-22
"       (2010 VE137)",N,N,17.7,,,.2279475939923758,3.046520304750351,2.352073331233589,2.391739133171169,3.740967278267114,1.36164,1.65794,"Otto Matic",4576,2004-08-13,2017-02-22
"       (2010 VY140)",N,N,17.45,,,.1410715479505022,2.86330443125798,2.459373642886884,13.33008880145359,3.267235219629076,1.48887,2.15221,"Otto Matic",8,2010-11-06,2010-11-14
"       (2010 VJ206)",N,N,16.3,,,.1196111390669673,2.832643678096409,2.493827941188454,8.625754696434536,3.171459415004364,1.48085,2.11932,"Otto Matic",5109,2005-09-23,2019-09-19
"       (2010 VZ206)",N,N,16.7,,,.1653709454492473,2.85362250111951,2.381716250154131,14.23478392470095,3.32552875208489,1.41788,2.28912,"Otto Matic",5031,2005-09-25,2019-07-05
"       (2010 VG209)",N,,18.2,,,0.1492624,2.5738420,2.1896642,7.75451,2.9580198,,,Williams,,2010-??-??,2018-10-15
"       (2010 VJ213)",N,N,16.8,,,.06339817968195896,2.938522010905353,2.752225064458584,11.94890020253899,3.124818957352122,1.76075,2.17887,"Otto Matic",1853,2005-10-10,2010-11-06
"       (2010 VA214)",N,N,18.6,,,.2613329592048293,2.326915186853002,1.718815555254049,4.974461258057426,2.935014818451956,.710644,2.48017,"Otto Matic",2572,2010-09-16,2017-10-01
"       (2010 VY219)",N,N,16.4,,,.2191307715427015,3.046198487457848,2.378682662629,16.26910734015266,3.713714312286697,1.43746,2.02967,"Otto Matic",4894,2006-02-04,2019-06-30
"       (2010 VO230)",N,N,18.1,,,.2129860909098327,2.358148881948595,1.855895969798971,4.595296067284705,2.860401794098219,.858723,2.60088,"Otto Matic",4096,2006-08-21,2017-11-07
"       (2010 VQ236)",N,N,19.1,,,.1706687244906271,2.290521589988776,1.899601191807148,3.784614274714413,2.681441988170404,.918094,2.5329,"Otto Matic",2586,2010-11-10,2017-12-09
"       (2010 VM241)",N,N,17.0,,,.1020688090446384,3.126172941538421,2.80708819252802,9.47927382145977,3.445257690548821,1.82846,1.60016,"Otto Matic",4047,2007-03-17,2018-04-15
